Table 1
"""The Regulation of Labor"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Quarterly Journal of Economics, 2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative employment contracts,"Measures the existence and cost of alternatives to the standard employment contract, computed as the average of: (1) a dummy variable equal to one if part-time workers enjoy the mandatory benefits of full-time workers; (2) a dummy variable equal to one if terminating part-time workers is at least as costly as terminating full time workers; (3) a dummy variable equal to one if fixed-term contracts are only allowed for fixed-term tasks; and (4) the normalized maximum duration of fixed-term contracts.",index_altern12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of increasing hours worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days of annual leave with pay in manufacturing,"Measures the length of the annual paid leave in manufacturing after twenty years of employment. If annual leave entails less than full pay, the number of days are discounted proportionally. The highest observation in our sample is 30 days and the lowest is 0. ",days_leave_pay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paid mandatory holidays,"Measures the number of mandatory paid holidays in a year. If only half a day is granted for particular holidays, we count each as 0.5 days and round off to the nearest whole. The highest observation in our sample is 18 and the lowest is 0.",paid_holidays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premium for overtime  ,"This variable measures the ratio of the overtime wage over the normal wage. The overtime premium is often two tiered which means it pays a certain premium for the first set of overtime hours a week (coded as “x1_hrs_ot”) and a higher premium for each hour thereafter (coded as “x2_hrs_ot”). The threshold between both rates is given by “x_hrs_ot” which is the maximum number of overtime hours per week that can be worked under the lower premium. If the overtime structure has a single tier, we code “x_hrs_ot” and “x2_hrs_ot” as “na”.",x1_hrs_ot; x2_hrs_ot; x_hrs_ot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premium for work on the primary rest day,"Measures the ratio of wages paid for work on the primary rest day over the normal wage rate. The primary rest day is usually Sunday, but for some countries it may be Saturday or Friday. If there is nothing in the law regarding premiums for work on the primary rest day we code this variable as “na”.",premium_1restday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premium for work on the secondary rest day,"Measures the ratio of wages paid for work on the secondary rest day over the normal wage rate. The secondary rest day is usually Saturday, but for some countries it may be Friday or Sunday. If there is nothing in the law regarding premium for work on the secondary rest day we code this variable as “na”.",premium_2restday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum hours of overtime (weekly),"Measures the maximum number of overtime hours that can be worked in a week. Restrictions on overtime are coded in countries’ laws with different time frames as reference (e.g. daily, weekly, monthly and yearly) If restrictions are coded with reference shorter than a week we adjust proportionally to frame the restriction as the maximum number of overtime hours that can be worked per week. If the restrictions are coded with reference to a time period longer than a week, we adjust proportionally and code it as a yearly restriction. If there are no weekly restrictions to overtime we code this variable as “na”.",ot_week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum hours of overtime (yearly),"Measures the maximum number of overtime hours that can be worked in a year. Restrictions on overtime are often coded in countries’ laws with different time frames as reference (e.g. daily, weekly, monthly and yearly). If restrictions are coded with reference shorter than a week we adjust proportionally to frame the restriction as the maximum number of overtime hours that can be worked per week. If the restriction is coded with reference to a time period longer than a week we adjust proportionally and code it as a yearly restriction. If there are no yearly restrictions to overtime we code this variable as “na”.",ot_year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum number of hours per week.,Measures the maximum duration of the regular work week (excluding overtime). The highest observation in our sample is 52 hours and the lowest observation is 37 hours. ,max_hours_w_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum days of work per week.,"Measures the maximum number of work days per week. Legal limits may be defined either as a number of mandatory rest days per week or as a mandatory minimum of consecutive hours of rest. If nothing is specified, we assume the maximum is seven days. For limits expressed as a number of consecutive hours of rest, we code 36 or more as 2 days off, less than 36 hours but more than 12 as 1 day off and less than 12 hours as 0 days off.",max_days_w_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum hours of work in a day.,"Measures the maximum number of hours of work per day. Legal limits may be defined either as a mandatory maximum regular and overtime working hours per day or as mandatory minimum rest hours per day. If nothing is specified in the law, we use 24 hours. If restrictions are expressed as a number of consecutive hours of rest, we subtract this number from 24 hours. The highest observation in our sample is 24 hours and the lowest is 10 hours.",max_hours_d_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weeks worked in a year,This variable measures the number of weeks worked in a year. It is calculated as 52 minus the number of weeks off; where the latter is calculated as the sum of “Days of annual leave with pay in manufacturing” and the number of “Paid mandatory holidays” divided by the “Maximum days of work per week”. ,weeks_year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum number of hours of work in a year before overtime,This variable measures the maximum number of regular (no overtime) hours of work allowed over the course of a year. It is calculated as the “Maximum hours of work per week” multiplied by the number of “weeks worked in a year”. ,hours_year_over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is it possible to do everything with overtime?,"Equals one if it is not possible to increase production for the “Cost of increasing hours worked” scenario without violating some restrictions. Equals zero otherwise. This variable includes restrictions on ""maximum overtime (weekly)”; ""maximum overtime (yearly)""; “maximum days of work per week”; and “Maximum hours of work in a day"".",poss_overtime_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of increasing hours worked,"Measures the cost of increasing the number of hours worked. We start by calculating the ""maximum number of hours of work in a year before overtime"" per year in each country (excluding overtime, vacations, holidays, etc.).  Normal hours range from 1,758 in Denmark to 2,418 in Kenya.  Then we assume that firms need to increase the hours worked by their employees from 1,758 to 2,418 hours during one year. A firm first increases the number of hours worked until it reaches the country’s maximum normal hours of work, and then uses overtime. If existing employees are not allowed to increase the hours worked to 2,418 hours in a year, perhaps because overtime is capped, we assume the firm doubles its workforce and each worker is paid 1,758 hours, doubling the wage bill of the firm.  The cost of increasing hours worked is computed as the ratio of the final wage bill to the initial one.",cost_overtimen_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of firing workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legally mandated notice period            (Redundancy dismissal),"Measures the length of the mandatory notice period for the dismissal of one redundant worker in manufacturing after three years of employment. The variable is expressed in weeks. For countries that code their legally mandated notice period in days or months, we transform to weeks assuming 7 days per week and 4.3 weeks per month.",red_noti_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legally mandated  severance payment (Redundancy dismissal),"Measures the amount of mandatory severance payment for the dismissal of one redundant worker in manufacturing after three years of employment. The variable is expressed in weeks of pay. For countries that code their legally mandated severance pay in days or months of pay, we transform it to weeks assuming 7 days per week and 4.3 weeks per month.",red_sev_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legally mandated penalty              (Redundancy dismissal),"Measures the amount of mandatory penalty payment for the dismissal of one redundant worker in manufacturing after three years of employment. The variable is expressed in weeks of pay. For countries that code their legally mandated penalty in days or months of pay, we transform them to weeks assuming 7 days per week and 4.3 weeks per month.",red_pen_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legally mandated notice period                    (no cause dismissal) ,"Measures the length of the mandatory notice period for the dismissal of one worker for no cause in manufacturing after three years of employment. The variable is expressed in weeks. For countries that code their legally mandated notice period in days or months, we transform them to weeks assuming 7 days per week and 4.3 weeks per month.",red_noti_nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legally mandated  severance payment              (no cause dismissal),"Measures the amount of mandatory severance payment for the dismissal of one worker for no cause in manufacturing after three years of employment. The variable is expressed in weeks of pay. For countries that code their legally mandated severance pay in days or months of pay, we transform them to weeks assuming 7 days per week and 4.3 weeks per month.",red_sev_nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
